,#,Res.,Ref.,Update,Notes,Status,Dropoff,Day,Dropoff Date,Time,Pickup,Pickup Date,Time_c13,# Days,Category,Vehicle,Colour,Items,Insurance,Departure,Next Rental,RCM_Rego,Pickup Date Time,Dropoff Date Time
1,A,26878,A,A,A,RETURNED,A,A,2024-05-01,08:30,SYD,2024-04-26,20:20,A,A,5849965,WHITE,A,A,A,A,S159CTZ,2024-04-26 20:20:00,2024-05-01 08:30:00
2,A,29113,A,A,A,RETURNED,A,A,2024-05-01,09:00,SYD,2024-04-30,11:30,A,A,5848137,Atlas White,A,A,A,A,EZP21K,2024-04-30 11:30:00,2024-05-01 09:00:00
4,A,27455,A,A,A,RETURNED,A,A,2024-05-01,12:00,SYD,2024-04-29,19:10,A,A,5848115,Mighty Yellow,A,A,A,A,EZP21T,2024-04-29 19:10:00,2024-05-01 12:00:00
5,A,28717,A,A,A,RETURNED,A,A,2024-05-01,12:45,SYD,2024-04-29,11:10,A,A,5849929,Grey,A,A,A,A,S861CVY,2024-04-29 11:10:00,2024-05-01 12:45:00
6,A,29152,A,A,A,RETURNED,A,A,2024-05-01,12:45,SYD,2024-04-29,13:30,A,A,5848101,Grey,A,A,A,A,EWF23W,2024-04-29 13:30:00,2024-05-01 12:45:00
7,A,29052,A,A,A,RETURNED,A,A,2024-05-01,12:45,SYD,2024-04-28,09:25,A,A,5849987,Snow White Peak,A,A,A,A,DE71CY,2024-04-28 09:25:00,2024-05-01 12:45:00
8,A,29094,A,A,A,RETURNED,A,A,2024-05-01,13:25,SYD,2024-05-01,07:35,A,A,5849936,Royal Yellow,A,A,A,A,DH72QP,2024-05-01 07:35:00,2024-05-01 13:25:00
9,A,29109,A,A,A,RETURNED,A,A,2024-05-01,13:35,SYD,2024-04-30,16:50,A,A,5848102,White,A,A,A,A,S528CTK,2024-04-30 16:50:00,2024-05-01 13:35:00
10,A,28848,A,A,A,RETURNED,A,A,2024-05-01,14:20,SYD,2024-04-28,12:35,A,A,5849982,Phantom Black,A,A,A,A,FBF07Q,2024-04-28 12:35:00,2024-05-01 14:20:00
11,A,28725,A,A,A,RETURNED,A,A,2024-05-01,14:25,SYD,2024-04-28,18:30,A,A,5849973,White Cream,A,A,A,A,FBF07T,2024-04-28 18:30:00,2024-05-01 14:25:00
12,A,25163,A,A,A,RETURNED,A,A,2024-05-01,14:30,SYD,2024-04-26,19:10,A,A,5848170,SILVER,A,A,A,A,S304CTG,2024-04-26 19:10:00,2024-05-01 14:30:00
13,A,27911,A,A,A,RETURNED,A,A,2024-05-01,14:45,SYD,2024-05-01,08:00,A,A,5849934,Astro Grey,A,A,A,A,DE61CY,2024-05-01 08:00:00,2024-05-01 14:45:00
14,A,26077,A,A,A,RETURNED,A,A,2024-05-01,15:25,SYD,2024-04-30,16:55,A,A,5849969,Aurora Black,A,A,A,A,DE60CY,2024-04-30 16:55:00,2024-05-01 15:25:00
15,A,28930,A,A,A,RETURNED,A,A,2024-05-01,15:45,SYD,2024-05-01,09:40,A,A,5848165,Atlas White,A,A,A,A,EZP21L,2024-05-01 09:40:00,2024-05-01 15:45:00
16,A,28680,A,A,A,RETURNED,A,A,2024-05-01,18:15,SYD,2024-05-01,08:20,A,A,5848117,Intense Blue,A,A,A,A,EZP21P,2024-05-01 08:20:00,2024-05-01 18:15:00
17,A,29346,A,A,A,RETURNED,A,A,2024-05-01,19:15,SYD,2024-05-01,09:25,A,A,5848112,Sterling Silver,A,A,A,A,DH49QN,2024-05-01 09:25:00,2024-05-01 19:15:00
18,A,29205,A,A,A,RETURNED,A,A,2024-05-01,19:20,SYD,2024-05-01,09:00,A,A,5848131,Saturn Silver,A,A,A,A,S653CVF,2024-05-01 09:00:00,2024-05-01 19:20:00
19,A,27615,A,A,A,RETURNED,A,A,2024-05-01,19:20,SYD,2024-05-01,12:05,A,A,5849965,WHITE,A,A,A,A,S159CTZ,2024-05-01 12:05:00,2024-05-01 19:20:00
20,A,29347,A,A,A,RETURNED,A,A,2024-05-01,19:20,SYD,2024-05-01,09:40,A,A,5849976,White,A,A,A,A,S073CNZ,2024-05-01 09:40:00,2024-05-01 19:20:00
21,A,29350,A,A,A,RETURNED,A,A,2024-05-01,19:30,SYD,2024-05-01,12:40,A,A,5848108,CRYSTAL WHITE,A,A,A,A,EZE18Q,2024-05-01 12:40:00,2024-05-01 19:30:00
22,A,29204,A,A,A,RETURNED,A,A,2024-05-01,19:30,SYD,2024-04-29,09:40,A,A,5848174,Midnight Blue,A,A,A,A,S647CUO,2024-04-29 09:40:00,2024-05-01 19:30:00
23,A,29259,A,A,A,RETURNED,A,A,2024-05-01,19:55,SYD,2024-05-01,07:05,A,A,5849985,Midnight Blue,A,A,A,A,S539CVE,2024-05-01 07:05:00,2024-05-01 19:55:00
25,A,28923,A,A,A,RETURNED,A,A,2024-05-02,07:05,SYD,2024-04-30,11:25,A,A,5848135,Silver,A,A,A,A,EZE21Q,2024-04-30 11:25:00,2024-05-02 07:05:00
27,A,25458,A,A,A,RETURNED,A,A,2024-05-02,08:20,SYD,2024-04-28,11:00,A,A,5848196,Mercurial Grey,A,A,A,A,S538CVE,2024-04-28 11:00:00,2024-05-02 08:20:00
28,A,29372,A,A,A,RETURNED,A,A,2024-05-02,08:35,SYD,2024-05-01,10:00,A,A,5849948,Silver,A,A,A,A,DJ65YC,2024-05-01 10:00:00,2024-05-02 08:35:00
29,A,22472,A,A,A,RETURNED,A,A,2024-05-02,08:35,SYD,2024-04-22,08:50,A,A,5849924,Midnight Blue,A,A,A,A,S541CVE,2024-04-22 08:50:00,2024-05-02 08:35:00
30,A,29360,A,A,A,RETURNED,A,A,2024-05-02,09:20,SYD,2024-05-01,09:25,A,A,5848111,WHITE,A,A,A,A,S003CTM,2024-05-01 09:25:00,2024-05-02 09:20:00
31,A,29262,A,A,A,RETURNED,A,A,2024-05-02,09:30,SYD,2024-04-30,10:45,A,A,5848195,Grey,A,A,A,A,S161CRO,2024-04-30 10:45:00,2024-05-02 09:30:00
32,A,29206,A,A,A,RETURNED,A,A,2024-05-02,09:30,SYD,2024-04-30,18:25,A,A,5848189,Lunar White,A,A,A,A,S663CVF,2024-04-30 18:25:00,2024-05-02 09:30:00
33,A,28846,A,A,A,RETURNED,A,A,2024-05-02,09:50,SYD,2024-04-30,10:55,A,A,5848136,Yellow,A,A,A,A,S942CSX,2024-04-30 10:55:00,2024-05-02 09:50:00
35,A,28689,A,A,A,RETURNED,A,A,2024-05-02,10:15,SYD,2024-04-30,07:50,A,A,5848166,SILVER,A,A,A,A,S834CTV,2024-04-30 07:50:00,2024-05-02 10:15:00
36,A,29154,A,A,A,RETURNED,A,A,2024-05-02,10:15,SYD,2024-05-01,10:15,A,A,5848100,Grey,A,A,A,A,EZE21P,2024-05-01 10:15:00,2024-05-02 10:15:00
37,A,25896,A,A,A,RETURNED,A,A,2024-05-02,10:45,SYD,2024-04-27,07:30,A,A,5848188,Blue,A,A,A,A,S376CSN,2024-04-27 07:30:00,2024-05-02 10:45:00
38,A,29399,A,A,A,RETURNED,A,A,2024-05-02,12:30,SYD,2024-05-01,12:25,A,A,5849970,Astro Grey,A,A,A,A,EZP24E,2024-05-01 12:25:00,2024-05-02 12:30:00
39,A,28987,A,A,A,RETURNED,A,A,2024-05-02,13:30,SYD,2024-05-01,09:10,A,A,5848109,CRYSTAL WHITE,A,A,A,A,EZE18P,2024-05-01 09:10:00,2024-05-02 13:30:00
40,A,29361,A,A,A,RETURNED,A,A,2024-05-02,13:45,SYD,2024-05-01,14:10,A,A,5848155,Clear White,A,A,A,A,EZP21U,2024-05-01 14:10:00,2024-05-02 13:45:00
41,A,28584,A,A,A,RETURNED,A,A,2024-05-02,14:45,SYD,2024-04-29,15:00,A,A,5849943,White,A,A,A,A,FEQ30P,2024-04-29 15:00:00,2024-05-02 14:45:00
42,A,29467,A,A,A,RETURNED,A,A,2024-05-02,16:30,SYD,2024-05-01,20:05,A,A,5849958,SILVER,A,A,A,A,EZP24G,2024-05-01 20:05:00,2024-05-02 16:30:00
43,A,28562,A,A,A,RETURNED,A,A,2024-05-02,16:45,SYD,2024-04-30,09:35,A,A,5848119,Ecotronic Grey,A,A,A,A,EZP21N,2024-04-30 09:35:00,2024-05-02 16:45:00
44,A,29164,A,A,A,RETURNED,A,A,2024-05-02,17:00,SYD,2024-04-30,16:35,A,A,5848159,Grey,A,A,A,A,EYX33E,2024-04-30 16:35:00,2024-05-02 17:00:00
45,A,18401,A,A,A,RETURNED,A,A,2024-05-02,17:00,SYD,2024-04-30,12:10,A,A,5848167,Grey,A,A,A,A,EYX33D,2024-04-30 12:10:00,2024-05-02 17:00:00
46,A,29352,A,A,A,RETURNED,A,A,2024-05-02,17:05,SYD,2024-05-02,10:30,A,A,5848157,WHITE,A,A,A,A,EXD11K,2024-05-02 10:30:00,2024-05-02 17:05:00
47,A,29426,A,A,A,RETURNED,A,A,2024-05-02,17:35,SYD,2024-05-02,08:05,A,A,5849985,Midnight Blue,A,A,A,A,S539CVE,2024-05-02 08:05:00,2024-05-02 17:35:00
48,A,29359,A,A,A,RETURNED,A,A,2024-05-02,17:45,SYD,2024-05-02,08:50,A,A,5848124,Red Diamond,A,A,A,A,S837CVV,2024-05-02 08:50:00,2024-05-02 17:45:00
49,A,26879,A,A,A,RETURNED,A,A,2024-05-02,20:35,SYD,2024-04-30,11:10,A,A,5849933,Blue,A,A,A,A,DJ72YC,2024-04-30 11:10:00,2024-05-02 20:35:00
50,A,28877,A,A,A,RETURNED,A,A,2024-05-02,20:35,SYD,2024-05-02,08:50,A,A,5848165,Atlas White,A,A,A,A,EZP21L,2024-05-02 08:50:00,2024-05-02 20:35:00
51,A,26224,A,A,A,RETURNED,A,A,2024-05-02,20:35,SYD,2024-04-18,12:15,A,A,5848143,Blue,A,A,A,A,S527CTK,2024-04-18 12:15:00,2024-05-02 20:35:00
52,A,28342,A,A,A,RETURNED,A,A,2024-05-02,20:35,SYD,2024-05-02,10:05,A,A,5849965,WHITE,A,A,A,A,S159CTZ,2024-05-02 10:05:00,2024-05-02 20:35:00
53,A,29297,A,A,A,RETURNED,A,A,2024-05-02,20:35,SYD,2024-05-01,10:30,A,A,5849935,Shimmering Silver,A,A,A,A,FBF07R,2024-05-01 10:30:00,2024-05-02 20:35:00
54,A,29187,A,A,A,RETURNED,A,A,2024-05-03,06:50,SYD,2024-04-29,15:05,A,A,5848162,WHITE,A,A,A,A,S424CSU,2024-04-29 15:05:00,2024-05-03 06:50:00
55,A,29427,A,A,A,RETURNED,A,A,2024-05-03,06:50,SYD,2024-05-02,10:50,A,A,5849936,Royal Yellow,A,A,A,A,DH72QP,2024-05-02 10:50:00,2024-05-03 06:50:00
56,A,21474,A,A,A,RETURNED,A,A,2024-05-03,07:25,SYD,2024-05-01,16:35,A,A,5849920,Space Black,A,A,A,A,S673CVF,2024-05-01 16:35:00,2024-05-03 07:25:00
58,A,25516,A,A,A,RETURNED,A,A,2024-05-03,11:20,SYD,2024-04-29,17:00,A,A,5848106,Grey,A,A,A,A,EZE21N,2024-04-29 17:00:00,2024-05-03 11:20:00
59,A,29349,A,A,A,RETURNED,A,A,2024-05-03,11:20,SYD,2024-05-01,10:30,A,A,5848150,WHITE,A,A,A,A,S302CTG,2024-05-01 10:30:00,2024-05-03 11:20:00
60,A,28960,A,A,A,RETURNED,A,A,2024-05-03,11:20,SYD,2024-04-27,11:40,A,A,5848127,Dark Blue,A,A,A,A,DF21EW,2024-04-27 11:40:00,2024-05-03 11:20:00
61,A,28899,A,A,A,RETURNED,A,A,2024-05-03,11:25,SYD,2024-04-30,10:35,A,A,5849932,Grey,A,A,A,A,ENZ50S,2024-04-30 10:35:00,2024-05-03 11:25:00
62,A,29542,A,A,A,RETURNED,A,A,2024-05-03,11:50,SYD,2024-05-02,20:10,A,A,5848155,Clear White,A,A,A,A,EZP21U,2024-05-02 20:10:00,2024-05-03 11:50:00
63,A,19562,A,A,A,RETURNED,A,A,2024-05-03,12:00,SYD,2024-04-19,09:00,A,A,5849939,Silver,A,A,A,A,S159CSN,2024-04-19 09:00:00,2024-05-03 12:00:00
64,A,28719,A,A,A,RETURNED,A,A,2024-05-03,14:30,SYD,2024-05-02,09:10,A,A,5849982,Phantom Black,A,A,A,A,FBF07Q,2024-05-02 09:10:00,2024-05-03 14:30:00
65,A,28646,A,A,A,RETURNED,A,A,2024-05-03,14:30,SYD,2024-04-29,10:50,A,A,5849967,Blue,A,A,A,A,DJ73YC,2024-04-29 10:50:00,2024-05-03 14:30:00
66,A,28649,A,A,A,RETURNED,A,A,2024-05-03,14:30,SYD,2024-04-28,11:35,A,A,5849953,Silver,A,A,A,A,DJ66YC,2024-04-28 11:35:00,2024-05-03 14:30:00
67,A,28387,A,A,A,RETURNED,A,A,2024-05-03,14:30,SYD,2024-05-02,11:40,A,A,5849931,Astro Grey,A,A,A,A,FBU81J,2024-05-02 11:40:00,2024-05-03 14:30:00
68,A,25697,A,A,A,RETURNED,A,A,2024-05-03,14:30,SYD,2024-04-28,11:35,A,A,5848130,Titanium,A,A,A,A,S838CVV,2024-04-28 11:35:00,2024-05-03 14:30:00
69,A,29260,A,A,A,RETURNED,A,A,2024-05-03,16:30,SYD,2024-05-03,12:00,A,A,5849935,Shimmering Silver,A,A,A,A,FBF07R,2024-05-03 12:00:00,2024-05-03 16:30:00
70,A,28480,A,A,A,RETURNED,A,A,2024-05-03,16:30,SYD,2024-05-03,09:55,A,A,5848119,Ecotronic Grey,A,A,A,A,EZP21N,2024-05-03 09:55:00,2024-05-03 16:30:00
71,A,21323,A,A,A,RETURNED,A,A,2024-05-03,16:30,SYD,2024-05-01,16:15,A,A,5848101,Grey,A,A,A,A,EWF23W,2024-05-01 16:15:00,2024-05-03 16:30:00
72,A,28731,A,A,A,RETURNED,A,A,2024-05-03,17:10,SYD,2024-04-29,09:05,A,A,5848113,Blue,A,A,A,A,S160CRO,2024-04-29 09:05:00,2024-05-03 17:10:00
73,A,29458,A,A,A,RETURNED,A,A,2024-05-03,17:10,SYD,2024-05-02,09:40,A,A,5848120,TITANIUM GREY,A,A,A,A,S112CUZ,2024-05-02 09:40:00,2024-05-03 17:10:00
74,A,26100,A,A,A,RETURNED,A,A,2024-05-03,17:30,SYD,2024-04-27,13:00,A,A,5848180,Mercurial Grey,A,A,A,A,S667CVF,2024-04-27 13:00:00,2024-05-03 17:30:00
75,A,29469,A,A,A,RETURNED,A,A,2024-05-03,18:10,SYD,2024-05-01,20:25,A,A,5849993,SPARKLING SILVER,A,A,A,A,DF15EW,2024-05-01 20:25:00,2024-05-03 18:10:00
76,A,27762,A,A,A,RETURNED,A,A,2024-05-03,18:35,SYD,2024-04-26,20:05,A,A,5849954,Misty Grey,A,A,A,A,DH68QP,2024-04-26 20:05:00,2024-05-03 18:35:00
77,A,29529,A,A,A,RETURNED,A,A,2024-05-03,18:35,SYD,2024-05-02,12:55,A,A,5849924,Midnight Blue,A,A,A,A,S541CVE,2024-05-02 12:55:00,2024-05-03 18:35:00
78,A,25872,A,A,A,RETURNED,A,A,2024-05-03,18:45,SYD,2024-04-28,10:35,A,A,5848178,Atlas White,A,A,A,A,EZP18R,2024-04-28 10:35:00,2024-05-03 18:45:00
79,A,29114,A,A,A,RETURNED,A,A,2024-05-03,19:40,SYD,2024-05-01,08:20,A,A,5848197,Midnight Blue,A,A,A,A,S661CVF,2024-05-01 08:20:00,2024-05-03 19:40:00
80,A,28030,A,A,A,RETURNED,A,A,2024-05-03,19:40,SYD,2024-05-02,10:30,A,A,5848110,White,A,A,A,A,EQV42X,2024-05-02 10:30:00,2024-05-03 19:40:00
